Competition,Opponent,Opposition Score,Arsenal Score,Goal Margin,"Result (W, D or L)",DT Reaction video views (K),Watch along views (K)
Premier League,Crystal Palace,0,0,0,D,136,269
FA Cup,Newcastle,0,2,2,W,198,314
Premier League,West Brom,0,4,4,W,307,416
Premier League,Brighton,0,1,1,W,247,376
Premier League,Chelsea,1,3,2,W,535,783
EFL Cup,Manchester City,4,1,-3,L,629,916
Premier League,Everton,2,1,-1,L,699,812
Premier League,Southampton,1,1,0,D,400,846
Premier League,Burnley,1,0,-1,L,945,856
Europa League,Dundalk,2,4,2,W,201,206
Premier League,Tottenham,2,0,-2,L,775,909
Europa League,Rapid Vienna,1,4,3,W,206,201
Premier League,Wolves,2,1,-1,L,518,559
Europa League,Molde,0,3,3,W,151,156
Premier League,Leeds,0,0,0,D,296,367
Premier League,Aston Villa,3,0,-3,L,685,615
Europa League,Molde,1,4,3,W,116,190
Premier League,Manchester United,0,1,1,W,367,570
Europa League,Dundalk,0,3,3,W,159,236
Premier League,Leicester,1,0,-1,L,361,365
Europa League,Rapid Vienna,1,2,1,W,175,191
Premier League,Manchester City,1,0,-1,L,248,291
Premier League,Sheffield United,1,2,1,W,176,234
EFL Cup,Liverpool,0,1,1,W,197,328
Premier League,Liverpool,3,1,-2,L,307,448
EFL Cup,Leicester,0,2,2,W,0,226
Premier League,West Ham,1,2,1,W,288,284
Premier League,Fulham,0,3,3,W,0,368
