Competition,Opponent,Opposition Score,United Score,Goal Margin,"Result (W, D or L)",Goldbridge Reaction (K),Watch along views (K)
Premier League,Burnley,0,1,1,W,370,659
FA Cup,Watford,0,1,1,W,209,433
EFL Cup,Manchester City,2,0,-2,L,290,731
Premier League,Aston Villa,1,2,1,W,373,614
Premier League,Wolves,0,1,1,W,333,591
Premier League,Leicester,2,2,0,D,263,605
EFL Cup,Everton,0,2,2,W,305,470
Premier League,Leeds,2,6,4,W,372,657
Premier League,Sheffield United,2,3,1,W,265,562
Premier League,Manchester City,0,0,0,D,231,569
Champions League,Leipzig,3,2,-1,L,454,950
Premier League,West Ham,1,3,2,W,303,566
Champions League,PSG,3,1,-2,L,274,567
Premier League,Southampton,2,3,1,W,373,744
Champions League,Basaksehir,1,4,3,W,236,574
Premier League,West Brom,0,1,1,W,222,487
Premier League,Everton,1,3,2,W,296,741
Champions League,Basaksehir,2,1,-1,L,376,606
Premier League,Arsenal,1,0,-1,L,418,503
Champions League,Leipzig,0,5,5,W,412,633
Premier League,Chelsea,0,0,0,D,242,601
Champions League,PSG,1,2,1,W,392,800
Premier League,Newcastle,1,4,3,W,323,715
Premier League,Tottenham,6,1,-5,L,438,1000
EFL Cup,Brighton,0,3,3,W,243,390
Premier League,Brighton,2,3,1,W,294,706
EFL Cup,Luton,0,3,3,W,238,381
Premier League,Crystal Palace,3,1,-2,L,414,713
