Competition,Opponent,Opposition Score,Chelsea Score,Goal Margin,"Result (W, D or L)",Younes Reaction (K),Watch along views (K),Chelsea FC highlight views (K)
FA Cup,Morecombe,0,4,4,W,37,38,658
Premier League,Manchester City,3,1,-2,L,49,50,2200
Premier League,Aston Villa,1,1,0,D,37,58,950
Premier League,Arsenal,3,1,-2,L,53,48,2900
Premier League,West Ham,0,3,3,W,30,35,1800
Premier League,Wolves,2,1,-1,L,36,-,1300
Premier League,Everton,1,0,-1,L,29,37,1100
Champions League,Krasnodar,1,1,0,D,26,29,
Premier League,Leeds,1,3,2,W,27,-,3100
Champions League,Sevilla,0,4,4,W,38,-,
Premier League,Tottenham,0,0,0,D,33,-,1000
Champions League,Rennes,1,2,1,W,34,-,
Premier League,Newcastle,0,2,2,W,35,-,1600
Premier League,Sheffield United,1,4,3,W,63,-,3500
Champions League,Rennes,0,3,3,W,35,-,
Premier League,Burnley,0,3,3,W,58,-,2600
Champions League,Krasnodar,0,4,4,W,45,-,
Premier League,Manchester United,0,0,0,D,39,-,2000
Champions League,Sevilla,0,0,0,D,34,-,
Premier League,Southampton,3,3,0,D,56,-,2700
Premier League,Crystal Palace,0,4,4,W,48,-,1900
EFL Cup,Tottenham,2,1,-1,L,47,-,2300
Premier League,West Brom,3,3,0,D,44,-,2700
EFL Cup,Barnsley,0,6,6,W,43,-,4100
Premier League,Liverpool,2,0,-2,L,55,-,2700
Premier League,Brighton,1,3,2,W,40,-,3000
